May 20;;;;;
;MON;TUE;WED;THU;FRI
;05-01;;;;
;ON;;;;
;05-04;05-05;05-06;05-07;05-08
;ON;ON;ON;ON;ON
;05-11;05-12;05-13;05-14;05-15
;ON;OFF;OFF;ON;ON
;05-18;05-19;05-20;05-21;05-22
;ON;OFF;ON;ON;ON
;05-25;05-26;05-27;05-28;05-29
;ON;OFF;OFF;ON;ON
